AssetKey,Pack,SourceURL,ExactSourcePath,SHA256,LocalFile,Use,RobloxAssetId,CreatorGroup,Status
A01.Desk,A01,https://kenney.nl/assets/furniture-kit,Models/OBJ format/desk.obj,5591258c26d1311a99ddb7b73e1e9ca48492afa102757d51fd9b3686e3fbff7e,assets/selected/A01/Models/OBJ format/desk.obj,Both themes; lobby tutorial; market kiosks,rbxassetid://PENDING_A01_Desk,PENDING_OWNER,Source verified; import/tint/upload pending
A01.Chair,A01,https://kenney.nl/assets/furniture-kit,Models/OBJ format/chairDesk.obj,2e4448333f39ceda9f3e90f02236463e34fbae80d470084ae2009541c16c89c6,assets/selected/A01/Models/OBJ format/chairDesk.obj,Both themes and tutorial desk,rbxassetid://PENDING_A01_Chair,PENDING_OWNER,Source verified; import/tint/upload pending
A01.Sofa,A01,https://kenney.nl/assets/furniture-kit,Models/OBJ format/loungeSofa.obj,5b5144546d67a5306dfd367fa22c7fa7b3536f58bc2b3887fa175ed74a27ad61,assets/selected/A01/Models/OBJ format/loungeSofa.obj,Both themes; marketplace lounge,rbxassetid://PENDING_A01_Sofa,PENDING_OWNER,Source verified; import/tint/upload pending
A01.Table,A01,https://kenney.nl/assets/furniture-kit,Models/OBJ format/tableCoffee.obj,a50abcd31f11b424d278756d65734193453030cf4a7c6966459e03150858885b,assets/selected/A01/Models/OBJ format/tableCoffee.obj,Vlog Loft coffee table,rbxassetid://PENDING_A01_Table,PENDING_OWNER,Source verified; import/tint/upload pending
A01.Shelf,A01,https://kenney.nl/assets/furniture-kit,Models/OBJ format/bookcaseOpen.obj,c582b0306529553018eb5a9f58eef35c7383e566a0613d32dea41612cfaded8c,assets/selected/A01/Models/OBJ format/bookcaseOpen.obj,Both themes expansion,rbxassetid://PENDING_A01_Shelf,PENDING_OWNER,Source verified; import/tint/upload pending
A01.Plant,A01,https://kenney.nl/assets/furniture-kit,Models/OBJ format/pottedPlant.obj,839e75290814756dee97e479fa462a7477cecda06db0707a520dc0f29130fc02,assets/selected/A01/Models/OBJ format/pottedPlant.obj,Vlog Loft; both expansions; tutorial prop,rbxassetid://PENDING_A01_Plant,PENDING_OWNER,Source verified; import/tint/upload pending
A01.Armchair,A01,https://kenney.nl/assets/furniture-kit,Models/OBJ format/loungeChair.obj,45bddc6646c1c5f48e7fd2abe609c9c846972008f930951249bf669c3ea180b9,assets/selected/A01/Models/OBJ format/loungeChair.obj,Vlog Loft expansion; lobby seat,rbxassetid://PENDING_A01_Armchair,PENDING_OWNER,Source verified; import/tint/upload pending
A02.Upright,A02,https://kenney.nl/assets/mini-arcade,Models/OBJ format/arcade-machine.obj,add11199c1a3eb0bb88a0731b33cf213b41ff8d8bd33f3ce3696980a2b87f94f,assets/selected/A02/Models/OBJ format/arcade-machine.obj,Gaming Den + lobby play corner,rbxassetid://PENDING_A02_Upright,PENDING_OWNER,Source verified; import/tint/upload pending
A03.Window,A03,https://kenney.nl/assets/building-kit,Models/OBJ format/wall-window-square.obj,46250bc4b95529a44c0ffdc217fd851aee08bc1f398b7593855a0227d0af6964,assets/selected/A03/Models/OBJ format/wall-window-square.obj,"Lobby, studio and market wall insets",rbxassetid://PENDING_A03_Window,PENDING_OWNER,Source verified; import/tint/upload pending
A04.Panel,A04,https://kenney.nl/assets/ui-pack,PNG/Grey/Default/button_rectangle_flat.png,c91ee37858be6035143a8ae26588741e9350e5f42aed548e3ee00910092239e8,assets/selected/A04/PNG/Grey/Default/button_rectangle_flat.png,Flat button/panel skin reference,rbxassetid://PENDING_A04_Panel,PENDING_OWNER,Source verified; import/tint/upload pending
