Key,Context,Example,Source,en-us
ui.unavailable,,,Unavailable,Unavailable
ui.loading,,,Loading your studio…,Loading your studio…
ui.close,,,Close,Close
ui.cancel,,,Cancel,Cancel
ui.confirm,,,Confirm,Confirm
ui.pending,,,Waiting for server confirmation…,Waiting for server confirmation…
ui.refreshing,,,Updating your studio…,Updating your studio…
ui.unknown,,,Still checking this request. Reconnect to reconcile before trying again.,Still checking this request. Reconnect to reconcile before trying again.
ui.cooling,,,Please wait for the review period to finish.,Please wait for the review period to finish.
ui.quoteChanged,,,Your choices changed. Refresh the preview before confirming.,Your choices changed. Refresh the preview before confirming.
ui.offline,,,Connection unavailable. Your changes have not been confirmed.,Connection unavailable. Your changes have not been confirmed.
ui.selected,,,Selected · {label},Selected · {label}
ui.progress,,,{current} / {maximum},{current} / {maximum}
timer.checking,,,Checking server status…,Checking server status…
timer.remaining,,,{minutes}:{seconds} remaining,{minutes}:{seconds} remaining
nav.settings,,,Settings,Settings
nav.build,,,Build,Build
nav.crew,,,Crew,Crew
nav.produce,,,Produce,Produce
nav.collection,,,Collection,Collection
nav.chart,,,Chart,Chart
nav.market,,,Market,Market
hud.balances,,,"Credits {credits}
Followers {followers}","Credits {credits}
Followers {followers}"
hud.partner,,,Partnership · {name},Partnership · {name}
partner.solo,,,Solo studio,Solo studio
job.idle,,,Choose your next production,Choose your next production
job.rendering,,,Production rendering,Production rendering
job.ready,,,Ready to collect,Ready to collect
job.collected,,,Drop collected,Drop collected
prompt.keyboard,,,Mouse to select · Esc to close,Mouse to select · Esc to close
prompt.touch,,,Tap to select · Close to return,Tap to select · Close to return
prompt.gamepad,,,Select to focus · Confirm / Back,Select to focus · Confirm / Back
settings.summary,,,Effects: {effects} · Sound: {volume}%,Effects: {effects} · Sound: {volume}%
settings.reduced,,,Reduced,Reduced
settings.full,,,Standard,Standard
preview.only,,,Design preview only. No gameplay action was performed.,Design preview only. No gameplay action was performed.
rarity.common,,,Common,Common
rarity.uncommon,,,Uncommon,Uncommon
rarity.rare,,,Rare,Rare
rarity.epic,,,Epic,Epic
card.metadata,,,"{category} · {series}
Quality {quality} · Created {created}
Original creator: {creator}
Current owner: {owner}
Drop ID: {id}","{category} · {series}
Quality {quality} · Created {created}
Original creator: {creator}
Current owner: {owner}
Drop ID: {id}"
chart.interest,,,Audience Interest: {share}% · published game rule,Audience Interest: {share}% · published game rule
chart.provisional,,,Your provisional score: {score}. Later productions can change the result.,Your provisional score: {score}. Later productions can change the result.
crew.detail,,,"{name} · {role}
Level {level} · {assignment}","{name} · {role}
Level {level} · {assignment}"
screen.HUD,,,HUD,HUD
screen.BuildCatalogue,,,Build catalogue,Build catalogue
screen.CrewPanel,,,Crew,Crew
screen.ProductionPanel,,,Production,Production
screen.CollectionPanel,,,Collection,Collection
screen.ChartBoard,,,Pulse Chart,Pulse Chart
screen.PartnershipPanel,,,Partnership,Partnership
screen.MarketplaceHub,,,Marketplace,Marketplace
screen.ReportDialog,,,Report & block,Report & block
screen.Settings,,,Settings,Settings
copy.1,,,Editing desk · 8×4,Editing desk · 8×4
copy.2,,,Camera I · 2×2,Camera I · 2×2
copy.3,,,Potted plant · 2×2,Potted plant · 2×2
copy.4,,,Catalogue,Catalogue
copy.5,,,Selected item: earned unlock. Price and availability must come from the live catalogue.,Selected item: earned unlock. Price and availability must come from the live catalogue.
copy.6,,,Preview selected item,Preview selected item
copy.7,,,Desk in this studio,Desk in this studio
copy.8,,,Owned placement,Owned placement
copy.9,,,Move selected placement,Move selected placement
copy.10,,,Accent,Accent
copy.11,,,Recolour slot,Recolour slot
copy.12,,,Cyan,Cyan
copy.13,,,Violet,Violet
copy.14,,,Coral,Coral
copy.15,,,Colour,Colour
copy.16,,,Apply colour,Apply colour
copy.17,,,Store this item? You keep ownership; no Credits are refunded.,Store this item? You keep ownership; no Credits are refunded.
copy.18,,,Store selected placement,Store selected placement
copy.19,,,Placement controls use a local preview supplied by your placement adapter.,Placement controls use a local preview supplied by your placement adapter.
copy.20,,,Nudge back · 2 studs,Nudge back · 2 studs
copy.21,,,Nudge left · 2 studs,Nudge left · 2 studs
copy.22,,,Nudge right · 2 studs,Nudge right · 2 studs
copy.23,,,Nudge forward · 2 studs,Nudge forward · 2 studs
copy.24,,,Rotate · 90°,Rotate · 90°
copy.25,,,Cancel placement,Cancel placement
copy.26,,,Place here,Place here
copy.27,,,Remy Byte · Editor,Remy Byte · Editor
copy.28,,,Ari Frame · Camera Operator,Ari Frame · Camera Operator
copy.29,,,Choose crew member,Choose crew member
copy.30,,,Starter production station,Starter production station
copy.31,,,Assign to station,Assign to station
copy.32,,,Confirm the server-provided hire cost and member before hiring.,Confirm the server-provided hire cost and member before hiring.
copy.33,,,Review hire,Review hire
copy.34,,,Confirm the server-provided upgrade cost and XP requirement.,Confirm the server-provided upgrade cost and XP requirement.
copy.35,,,Review level upgrade,Review level upgrade
copy.36,,,Unassign crew,Unassign crew
copy.37,,,Assign crew,Assign crew
copy.38,,,Gaming,Gaming
copy.39,,,Comedy,Comedy
copy.40,,,Music,Music
copy.41,,,1 · Choose category,1 · Choose category
copy.42,,,Remy Byte · Editor,Remy Byte · Editor
copy.43,,,2 · Assign crew,2 · Assign crew
copy.44,,,"Starter camera, computer and light","Starter camera, computer and light"
copy.45,,,3 · Choose equipment,3 · Choose equipment
